22;Nit - meki uvez; Victoria Hislop;133
50;Više nego normalno; Dale Archer;121
39;Rajske ptice - meki uvez; Neven Ušumović;126
110;Djevojke koje sjaje; Lauren Beukes;157
120;Kako rade strojevi - tvrdi uvez; Nick Arnold;19
215;Život i alkemija kristala; Vesna Ivanović;46
17;Stres u razredu; Brigitte Trankiem;127
144;Umijeće utjecanja; Kevin Hogan;145
9;Pedeset nijansi mračniji - meki uvez ; E. L. James;159
42;Tunis-vodiči;  Dorling Kindersley;174
101;Pedeset pulastri; Albino Crnobori;88
159;Nemojte - za muževe; Blanche Ebbutt;66
82;Ženski mozak - kiosk izdanje; Louann Brizendine;106
61;Zora ljubavnika; Louis Gardel;155
102;1001 savjet kako postati bolji vrtlar; Pippa Greenwood;22
201;Okajani grijesi; Kate Mitchell;143
48;Dnevnički zapisi; Ernesto Che Guevara;29
129;Oboji svijet; Antonija Balić Šimrak;41
147;Modrobradi; Kurt Vonnegut;132
89;Dijeta za bonkuloviće... i druga spiza; Zlatko Gall;101
128;Kišni paviljon; Vikram Seth;123
225;Kako se dobro posvađati; Ljubica Uvodić Vranić;21
199;Razvoj vašeg djeteta; Miriam Stoppard;25
131;Tatine curice - meki uvez; Jelena Popović Volarić;157
137;Bageri i kamioni; Mandy Archer;63
219;P.S. Volim te; Cecelia Ahem;133
236;Knjiga o kalendarima; Zvonimir Šikić;165
241;Dijete od rođenja do četvrte godine;  Skupina autora;40
234;Bijele vrane; Tatjana Gromača;73
115;Hotel zagorje - kiosk; Ivana Bodrožić Simić;68
86;Unutarnja luka - kiosk; Nora Roberts;132
174;Vojnik - tvrdi uvez; Yossi Peled;38
244;Atlas mora i oceana; John Woodward;113
134;Kuća lutaka s naljepnicama; Ina Hattenhauer;118
79;Svašta iz bontona; Jasna Kretić Majer;75
96;Najzdravije namirnice svijeta; George Mateljan;48
114;Igre moXYalice; Jackie Silberg;50
87;Crne rupe i ostala čuda svemira; Alex Barnett;59
33;Jesen; Zlatko Gall;125
34;Za što sam se spremna potući; Ivana Simić Bodrožić;63
140;Vražji nakot; Bora Ćosić;111
150;IXYubljeni svjetovi; John Howe;51
247;Svijet životinja; Charlotte Uhlenbroek;156
210;Kako pokrenuti vlastiti biznis - meki uvez; Inga Lalić;94
182;Sve što trebate znati o ptičjoj gripi; John Farndon;44
216;Bijele vrane; Tatjana Gromača;165
196;Poriv; Daniel H. Pink;136
221;Vozila-kreativne aktivnosti; Emily Stead;167
31;Tkanje života; Mirjana Krizmanić;28
81;Tragom duha kroz divljinu; Ivan Supek;89
116;Zelot; Reza Aslan;25
224;Egipat;  Skupina autora;110
46;Moro kuharica; Sam i Sam Clark;104
76;Samo moje igre; Catherine Pauwels;160
112;Stvaralačko pisanje; Marija Mioković;23
138;Sveta rijeka; Vikram Seth;171
38;Velika knjiga igara 2; Josep M. Allué;30
214;Košer seks; Shmuley Boteach;67
4;Tajne seksualnog govora tijela; Martin Lloyd-Elliott;117
28;Rješavanje seksualnih problema; Aleksandar Štulhofer;166
41;Oblik vode - meki uvez; Andrea Camilleri;163
85;Geografski atlas Hrvatske; Denis Šehić;107
183;Mala škola plivanja; S. Riviére;139
121;Odvaži se sanjati; Nora Roberts;134
168;Čuvari šume: Tajanstveni svijet; Lisa Regan;33
175;Srdačnost kao roba; Klaus Kobjoli;113
37;Enciklopedija budućnosti; Anthony Wilson;168
80;Život u moru; Yves Cohat;28
233;Bijele vrane; Tatjana Gromača;56
245;Životolovka; Roberta Berci i Dragica Barbarić;47
71;Nuspojave; Woody Allen;139
145;Atlas dinosaura; John Woodward;152
156;Velika knjiga igara; Josep M. Allué;127
164;Vile; kreativne aktivnosti;87
45;Keksi; Carla Bardi;43
154;Kupologija; Martin Lindstrom;110
158;Snjegović; Jo Nesbo;75
13;Atkinsove molekule; Peter Atkins;130
40;Biti učitelj(ica); Jerzy Stelmach;113
119;Profesionalni novinar; Maroje Mihovilović;46
177;Divovska knjiga o divovima - tvrdi uvez; Mark Robertson;17
66;Mačka - priručnik za vlasnike; Bruce Fogle;87
169;101 jednostavnih tajni sretnih ljudi - kiosk; David Niven;94
69;Kapital Karla Marxa; Steve Shipside;120
18;Memo - Organska kemija; Biserka Zdjelarević;55
63;Soba ubojstava - meki uvez; P.D. James;62
243;Lijeni muž; Joshua Coleman;169
179;Moć uvjeravanja; Mirela Španjol Marković;163
109;Zamke za roditelje; Nevena Lovrinčević;26
171;U ljubavi i bez nje; Mirjana Krizmanić;113
254;Životinje izbliza; Igor Siwanowicz;82
163;Kuhajmo brzo i zdravo; Damira Skansi;17
188;Neboder s krilima; Nick Sharratt;147
184;Zeleni kvadrat; Kornelija Benyovsky Šoštarić;57
209;Moja zima; Tomislav Špiček;45
141;HNOS i vrednovanje; Melanija Slaviček;52
51;Poticanje stvaralaštva u odgoju i obrazovanju;  Skupina autora;53
103;Portret majke Indije; Vesna Krmpotić;30
100;O čemu razmišlja moja mačka; Gwen Bailey;13
72;Dvornikovi; Danijela Dvornik;20
12;Prdoprah doktora Proktora; Jo Nesbo;129
152;Dinosauri; Jean-Baptiste de Panafieu;62
178;Kradljivica knjiga; Markus Zusak;98
